=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:26: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsAaO4CetFIMwAcG4AxruAMQDstd4AviQmguBhNPAExLfqZy8KgEMx4xszT52cTrkKommFgEZV4ALpoAUGCi5VSagOy4AtMkKFl4NbIhDMlUq7eSVabg4PxVyFFs1bw4yCkpxCSC0VRkpVQAWLV19Ljx+Ehx4SyRVbhInKjp6W1VWZL15P1RMiytiQXDIsVlwAHdDJRIyjVDClzdXD3AykLlfOH8kBFKYsZGYuPGO6sDumKTtSrNs5DyC8OLaYfy2LdTOjMwsuBzrA+EI5taVyeM1zHze8f7Bodt8mMqnAAJxdT4xb7gL5AsKPI7UF64Xj8AGLCoXPwPZzNERInh8D7gfAxHy-P7DEmwtJgky2EnqMlNZ4kV5GOkkBnec7A1TUWq7d70jYY3kC27IK7tTpEhKknkTVQANnFOQ5mDleVamqW4E1mxSEAAToZ8pgjWkEu8SEabkZTDdzEYWI1Hn9yNEkusvZ4UK0WErRRMckSyrr8j6Fn71oGFWkcqiSPldSTI-loxDY4aJpKiSTdXLIySM8S0Fntmlc9jRCzMGzCbY5UtHOF3fi4NxG2gMy3HrjhnLy-oTdl9ua0rEaph41apY7ndWBoNhixEVJCP60CDN-4gzOhes15gyhv1tv1ruLxo4xYrUT8kfoWhTxDzxDdzfsnfxQu68iDxqz5Mn2tbSqsXYftmtqdCYJD7nOMGmOSy7Co+JIvqWb6lh+mhAA
13:29:26: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:29:26: [INFO] Matrix size: 4x14
13:29:26: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:26: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:26: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:29:27: [INFO] Add COL0 net
13:29:27: [INFO] Add COL1 net
13:29:27: [INFO] Add COL10 net
13:29:27: [INFO] Add COL11 net
13:29:27: [INFO] Add COL12 net
13:29:27: [INFO] Add COL13 net
13:29:27: [INFO] Add COL14 net
13:29:27: [INFO] Add COL2 net
13:29:27: [INFO] Add COL3 net
13:29:27: [INFO] Add COL4 net
13:29:27: [INFO] Add COL5 net
13:29:27: [INFO] Add COL6 net
13:29:27: [INFO] Add COL7 net
13:29:27: [INFO] Add COL8 net
13:29:27: [INFO] Add COL9 net
13:29:27: [INFO] Add Net-(D1-A) net
13:29:27: [INFO] Add Net-(D10-A) net
13:29:27: [INFO] Add Net-(D11-A) net
13:29:27: [INFO] Add Net-(D12-A) net
13:29:27: [INFO] Add Net-(D13-A) net
13:29:27: [INFO] Add Net-(D14-A) net
13:29:27: [INFO] Add Net-(D15-A) net
13:29:27: [INFO] Add Net-(D16-A) net
13:29:27: [INFO] Add Net-(D17-A) net
13:29:27: [INFO] Add Net-(D18-A) net
13:29:27: [INFO] Add Net-(D19-A) net
13:29:27: [INFO] Add Net-(D2-A) net
13:29:27: [INFO] Add Net-(D20-A) net
13:29:27: [INFO] Add Net-(D21-A) net
13:29:27: [INFO] Add Net-(D22-A) net
13:29:27: [INFO] Add Net-(D23-A) net
13:29:27: [INFO] Add Net-(D24-A) net
13:29:27: [INFO] Add Net-(D25-A) net
13:29:27: [INFO] Add Net-(D26-A) net
13:29:27: [INFO] Add Net-(D27-A) net
13:29:27: [INFO] Add Net-(D28-A) net
13:29:27: [INFO] Add Net-(D29-A) net
13:29:27: [INFO] Add Net-(D3-A) net
13:29:27: [INFO] Add Net-(D30-A) net
13:29:27: [INFO] Add Net-(D31-A) net
13:29:27: [INFO] Add Net-(D32-A) net
13:29:27: [INFO] Add Net-(D33-A) net
13:29:27: [INFO] Add Net-(D34-A) net
13:29:27: [INFO] Add Net-(D35-A) net
13:29:27: [INFO] Add Net-(D36-A) net
13:29:27: [INFO] Add Net-(D37-A) net
13:29:27: [INFO] Add Net-(D38-A) net
13:29:27: [INFO] Add Net-(D39-A) net
13:29:27: [INFO] Add Net-(D4-A) net
13:29:27: [INFO] Add Net-(D40-A) net
13:29:27: [INFO] Add Net-(D41-A) net
13:29:27: [INFO] Add Net-(D42-A) net
13:29:27: [INFO] Add Net-(D43-A) net
13:29:27: [INFO] Add Net-(D44-A) net
13:29:27: [INFO] Add Net-(D45-A) net
13:29:27: [INFO] Add Net-(D46-A) net
13:29:27: [INFO] Add Net-(D47-A) net
13:29:27: [INFO] Add Net-(D48-A) net
13:29:27: [INFO] Add Net-(D49-A) net
13:29:27: [INFO] Add Net-(D5-A) net
13:29:27: [INFO] Add Net-(D50-A) net
13:29:27: [INFO] Add Net-(D51-A) net
13:29:27: [INFO] Add Net-(D52-A) net
13:29:27: [INFO] Add Net-(D53-A) net
13:29:27: [INFO] Add Net-(D54-A) net
13:29:27: [INFO] Add Net-(D55-A) net
13:29:27: [INFO] Add Net-(D56-A) net
13:29:27: [INFO] Add Net-(D57-A) net
13:29:27: [INFO] Add Net-(D58-A) net
13:29:27: [INFO] Add Net-(D59-A) net
13:29:27: [INFO] Add Net-(D6-A) net
13:29:27: [INFO] Add Net-(D60-A) net
13:29:27: [INFO] Add Net-(D61-A) net
13:29:27: [INFO] Add Net-(D62-A) net
13:29:27: [INFO] Add Net-(D63-A) net
13:29:27: [INFO] Add Net-(D64-A) net
13:29:27: [INFO] Add Net-(D65-A) net
13:29:27: [INFO] Add Net-(D66-A) net
13:29:27: [INFO] Add Net-(D67-A) net
13:29:27: [INFO] Add Net-(D7-A) net
13:29:27: [INFO] Add Net-(D8-A) net
13:29:27: [INFO] Add Net-(D9-A) net
13:29:27: [INFO] Add ROW0 net
13:29:27: [INFO] Add ROW1 net
13:29:27: [INFO] Add ROW2 net
13:29:27: [INFO] Add ROW3 net
13:29:27: [INFO] Add ROW4 net
13:29:27: [INFO] Add SW1 footprint
13:29:27: [INFO] Add D1 footprint
13:29:27: [INFO] Add SW2 footprint
13:29:27: [INFO] Add D2 footprint
13:29:27: [INFO] Add SW3 footprint
13:29:27: [INFO] Add D3 footprint
13:29:27: [INFO] Add SW4 footprint
13:29:27: [INFO] Add D4 footprint
13:29:27: [INFO] Add SW5 footprint
13:29:27: [INFO] Add D5 footprint
13:29:27: [INFO] Add SW6 footprint
13:29:27: [INFO] Add D6 footprint
13:29:27: [INFO] Add SW7 footprint
13:29:27: [INFO] Add D7 footprint
13:29:27: [INFO] Add SW8 footprint
13:29:27: [INFO] Add D8 footprint
13:29:27: [INFO] Add SW9 footprint
13:29:27: [INFO] Add D9 footprint
13:29:27: [INFO] Add SW10 footprint
13:29:27: [INFO] Add D10 footprint
13:29:27: [INFO] Add SW11 footprint
13:29:27: [INFO] Add D11 footprint
13:29:27: [INFO] Add SW12 footprint
13:29:27: [INFO] Add D12 footprint
13:29:27: [INFO] Add SW13 footprint
13:29:27: [INFO] Add D13 footprint
13:29:27: [INFO] Add SW14 footprint
13:29:27: [INFO] Add D14 footprint
13:29:27: [INFO] Add SW15 footprint
13:29:27: [INFO] Add D15 footprint
13:29:27: [INFO] Add SW16 footprint
13:29:27: [INFO] Add D16 footprint
13:29:27: [INFO] Add SW17 footprint
13:29:27: [INFO] Add D17 footprint
13:29:27: [INFO] Add SW18 footprint
13:29:27: [INFO] Add D18 footprint
13:29:28: [INFO] Add SW19 footprint
13:29:28: [INFO] Add D19 footprint
13:29:28: [INFO] Add SW20 footprint
13:29:28: [INFO] Add D20 footprint
13:29:28: [INFO] Add SW21 footprint
13:29:28: [INFO] Add D21 footprint
13:29:28: [INFO] Add SW22 footprint
13:29:28: [INFO] Add D22 footprint
13:29:28: [INFO] Add SW23 footprint
13:29:28: [INFO] Add D23 footprint
13:29:28: [INFO] Add SW24 footprint
13:29:28: [INFO] Add D24 footprint
13:29:28: [INFO] Add SW25 footprint
13:29:28: [INFO] Add D25 footprint
13:29:28: [INFO] Add SW26 footprint
13:29:28: [INFO] Add D26 footprint
13:29:28: [INFO] Add SW27 footprint
13:29:28: [INFO] Add D27 footprint
13:29:28: [INFO] Add SW28 footprint
13:29:28: [INFO] Add D28 footprint
13:29:28: [INFO] Add SW29 footprint
13:29:28: [INFO] Add D29 footprint
13:29:28: [INFO] Add SW30 footprint
13:29:28: [INFO] Add D30 footprint
13:29:28: [INFO] Add SW31 footprint
13:29:28: [INFO] Add D31 footprint
13:29:28: [INFO] Add SW32 footprint
13:29:28: [INFO] Add D32 footprint
13:29:28: [INFO] Add SW33 footprint
13:29:28: [INFO] Add D33 footprint
13:29:28: [INFO] Add SW34 footprint
13:29:28: [INFO] Add D34 footprint
13:29:28: [INFO] Add SW35 footprint
13:29:28: [INFO] Add D35 footprint
13:29:28: [INFO] Add SW36 footprint
13:29:28: [INFO] Add D36 footprint
13:29:28: [INFO] Add SW37 footprint
13:29:29: [INFO] Add D37 footprint
13:29:29: [INFO] Add SW38 footprint
13:29:29: [INFO] Add D38 footprint
13:29:29: [INFO] Add SW39 footprint
13:29:29: [INFO] Add D39 footprint
13:29:29: [INFO] Add SW40 footprint
13:29:29: [INFO] Add D40 footprint
13:29:29: [INFO] Add SW41 footprint
13:29:29: [INFO] Add D41 footprint
13:29:29: [INFO] Add SW42 footprint
13:29:29: [INFO] Add D42 footprint
13:29:29: [INFO] Add SW43 footprint
13:29:29: [INFO] Add D43 footprint
13:29:29: [INFO] Add SW44 footprint
13:29:29: [INFO] Add D44 footprint
13:29:29: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:29: [INFO] Add ST44 footprint
13:29:29: [INFO] Add SW45 footprint
13:29:29: [INFO] Add D45 footprint
13:29:29: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:29: [INFO] Add ST45 footprint
13:29:29: [INFO] Add SW46 footprint
13:29:29: [INFO] Add D46 footprint
13:29:29: [INFO] Add SW47 footprint
13:29:29: [INFO] Add D47 footprint
13:29:29: [INFO] Add SW48 footprint
13:29:29: [INFO] Add D48 footprint
13:29:29: [INFO] Add SW49 footprint
13:29:29: [INFO] Add D49 footprint
13:29:29: [INFO] Add SW50 footprint
13:29:29: [INFO] Add D50 footprint
13:29:29: [INFO] Add SW51 footprint
13:29:29: [INFO] Add D51 footprint
13:29:29: [INFO] Add SW52 footprint
13:29:29: [INFO] Add D52 footprint
13:29:29: [INFO] Add SW53 footprint
13:29:29: [INFO] Add D53 footprint
13:29:29: [INFO] Add SW54 footprint
13:29:30: [INFO] Add D54 footprint
13:29:30: [INFO] Add SW55 footprint
13:29:30: [INFO] Add D55 footprint
13:29:30: [INFO] Add SW56 footprint
13:29:30: [INFO] Add D56 footprint
13:29:30: [INFO] Add SW57 footprint
13:29:30: [INFO] Add D57 footprint
13:29:30: [INFO] Add SW58 footprint
13:29:30: [INFO] Add D58 footprint
13:29:30: [INFO] Add SW59 footprint
13:29:30: [INFO] Add D59 footprint
13:29:30: [INFO] Add SW60 footprint
13:29:30: [INFO] Add D60 footprint
13:29:30: [INFO] Add SW61 footprint
13:29:30: [INFO] Add D61 footprint
13:29:30: [INFO] Add ST61 footprint
13:29:30: [INFO] Add SW62 footprint
13:29:30: [INFO] Add D62 footprint
13:29:30: [INFO] Add SW63 footprint
13:29:30: [INFO] Add D63 footprint
13:29:30: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:29:30: [INFO] Add ST63 footprint
13:29:30: [INFO] Add SW64 footprint
13:29:30: [INFO] Add D64 footprint
13:29:30: [INFO] Add SW65 footprint
13:29:30: [INFO] Add D65 footprint
13:29:30: [INFO] Add SW66 footprint
13:29:30: [INFO] Add D66 footprint
13:29:30: [INFO] Add SW67 footprint
13:29:30: [INFO] Add D67 footprint
13:29:30: [INFO] Detected layout convertible to matrix annotated keyboard
13:29:30: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:29:30: [INFO] Layout offset: (38100000, 21336000)
13:29:30: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:29:30: [INFO] Placing additional elements for SW67
13:29:30: [INFO] Placing additional elements for SW66
13:29:30: [INFO] Placing additional elements for SW65
13:29:30: [INFO] Placing additional elements for SW64
13:29:30: [INFO] Placing additional elements for SW63
13:29:30: [INFO] Placing additional elements for SW62
13:29:30: [INFO] Placing additional elements for SW61
13:29:30: [INFO] Placing additional elements for SW60
13:29:30: [INFO] Placing additional elements for SW59
13:29:30: [INFO] Placing additional elements for SW58
13:29:30: [INFO] Placing additional elements for SW57
13:29:30: [INFO] Placing additional elements for SW56
13:29:30: [INFO] Placing additional elements for SW55
13:29:30: [INFO] Placing additional elements for SW54
13:29:30: [INFO] Placing additional elements for SW53
13:29:30: [INFO] Placing additional elements for SW52
13:29:30: [INFO] Placing additional elements for SW51
13:29:30: [INFO] Placing additional elements for SW50
13:29:30: [INFO] Placing additional elements for SW49
13:29:30: [INFO] Placing additional elements for SW48
13:29:30: [INFO] Placing additional elements for SW47
13:29:30: [INFO] Placing additional elements for SW46
13:29:30: [INFO] Placing additional elements for SW45
13:29:30: [INFO] Placing additional elements for SW44
13:29:30: [INFO] Placing additional elements for SW43
13:29:30: [INFO] Placing additional elements for SW42
13:29:30: [INFO] Placing additional elements for SW41
13:29:30: [INFO] Placing additional elements for SW40
13:29:30: [INFO] Placing additional elements for SW39
13:29:30: [INFO] Placing additional elements for SW38
13:29:30: [INFO] Placing additional elements for SW37
13:29:30: [INFO] Placing additional elements for SW36
13:29:30: [INFO] Placing additional elements for SW35
13:29:30: [INFO] Placing additional elements for SW34
13:29:30: [INFO] Placing additional elements for SW33
13:29:30: [INFO] Placing additional elements for SW32
13:29:30: [INFO] Placing additional elements for SW31
13:29:30: [INFO] Placing additional elements for SW30
13:29:30: [INFO] Placing additional elements for SW29
